Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Ratio,RatioSD,Gen 0,Gen 1,Gen 2,Allocated
GenerateImplicitConcat,Clr,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,NA,NA,NA,?,?,-,-,-,-
GenerateImplicitConcat,Core,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,109.98 ns,0.2335 ns,0.2184 ns,1.00,0.00,0.0166,-,-,104 B
GenerateExplicitConcat,Clr,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,NA,NA,NA,?,?,-,-,-,-
GenerateExplicitConcat,Core,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,116.80 ns,2.3226 ns,2.3851 ns,1.00,0.00,0.0165,-,-,104 B
GenerateConcatArray,Clr,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,NA,NA,NA,?,?,-,-,-,-
GenerateConcatArray,Core,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,72.48 ns,0.2057 ns,0.1924 ns,1.00,0.00,0.0063,-,-,40 B
GenerateInterpolation,Clr,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,NA,NA,NA,?,?,-,-,-,-
GenerateInterpolation,Core,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,104.34 ns,0.4479 ns,0.4189 ns,1.00,0.00,0.0166,-,-,104 B
GenerateStringFormat,Clr,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,NA,NA,NA,?,?,-,-,-,-
GenerateStringFormat,Core,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,186.48 ns,1.8079 ns,1.5097 ns,1.00,0.00,0.0062,-,-,40 B
GenerateStringBuilder,Clr,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,NA,NA,NA,?,?,-,-,-,-
GenerateStringBuilder,Core,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,63.25 ns,0.5997 ns,0.5610 ns,1.00,0.00,0.0063,-,-,40 B
GenerateCachedStringBuilder,Clr,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,NA,NA,NA,?,?,-,-,-,-
GenerateCachedStringBuilder,Core,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,84.82 ns,0.2264 ns,0.2007 ns,1.00,0.00,0.0063,-,-,40 B
